2026-05-07 17:41:10,242 - INFO - Starting RL generative experiment with oracle budget: 1000
2026-05-07 17:42:13,826 - INFO - Oracle calls: 624/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:14,904 - INFO - Oracle calls: 634/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:16,022 - INFO - Oracle calls: 639/1000 (Batch Validity: 81.25%, 13 / 16)
2026-05-07 17:42:17,092 - INFO - Oracle calls: 648/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:18,174 - INFO - Oracle calls: 659/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:19,140 - INFO - Oracle calls: 669/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:20,210 - INFO - Oracle calls: 679/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:21,316 - INFO - Oracle calls: 692/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:22,416 - INFO - Oracle calls: 702/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:23,524 - INFO - Oracle calls: 712/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:24,518 - INFO - Oracle calls: 717/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:42:25,588 - INFO - Oracle calls: 726/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:26,666 - INFO - Oracle calls: 733/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:27,662 - INFO - Oracle calls: 740/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:28,736 - INFO - Oracle calls: 750/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:29,818 - INFO - Oracle calls: 759/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:30,902 - INFO - Oracle calls: 769/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:31,978 - INFO - Oracle calls: 778/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:33,079 - INFO - Oracle calls: 785/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:34,176 - INFO - Oracle calls: 798/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:35,284 - INFO - Oracle calls: 809/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:42:36,347 - INFO - Oracle calls: 817/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:37,453 - INFO - Oracle calls: 828/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:38,571 - INFO - Oracle calls: 837/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:39,681 - INFO - Oracle calls: 845/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:40,773 - INFO - Oracle calls: 857/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:41,809 - INFO - Oracle calls: 872/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:42,936 - INFO - Oracle calls: 884/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:44,051 - INFO - Oracle calls: 896/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:45,189 - INFO - Oracle calls: 908/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:46,306 - INFO - Oracle calls: 922/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:47,413 - INFO - Oracle calls: 935/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:42:48,518 - INFO - Oracle calls: 945/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:49,626 - INFO - Oracle calls: 958/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:50,735 - INFO - Oracle calls: 969/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:51,782 - INFO - Oracle calls: 981/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:52,897 - INFO - Oracle calls: 988/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:42:54,027 - INFO - Oracle calls: 998/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:42:54,848 - INFO - Budget reached - final oracle calls: 1005/1000
2026-05-07 17:42:54,854 - INFO - Total wall time: 104.61122290976346 seconds.
